번호,사업명,대상,접수시작,접수종료,지자체,기타,해시태그,URL
51,청년 취업날개 코디네이터,만 15세 ~ 39세,,,경산시,취업대비 입사면접용 남녀 정장(구두포함) 무료 대여,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2021021803403
52,코로나19피해 소상공인 카드수수료 지원,제한없음,,,김천시,코로나19피해 소상공인 경영안정 지원,subsidy_supportFund,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2020123103443
53,김천시 청년센터 설치,만 15세 ~ 39세,,,김천시,청년활동 생태계 조성으로 지역청년의 사회참여 및 활동 확대,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2020123100809
54,청년 창업공간 지원사업,만 19세 ~ 39세,,,김천시,김천시 예비청년창업가 대상 리모델링비 및 임차료 최대 1000만원 지원,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2022032000456
55,청년 창업공간 지원사업,만 19세 ~ 39세,,,김천시,김천시 예비청년창업가 대상 리모델링비 및 임차료 최대 1000만원 지원,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2021021803387
56,김천시 청년센터 설치,만 15세 ~ 39세,,,김천시,청년활동 생태계 조성으로 지역청년의 사회참여 및 활동 확대,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2021021803384
57,청년 창업공간 지원사업,만 19세 ~ 39세,,,김천시,김천시 원도심에 창업하는 청년창업가 대상 리모델링비 및 임차료 최대 900만원 지원,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2020123103659
58,청년스타트업 지원사업,만 15세 ~ 39세,,,김천시,관내 특성화 고교 재학생 및 졸업생의 진로탐색 기회 및 역량강화 프로그램 운영,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2021021803385
59,청년 취창업 인큐베이팅 지원사업,만 15세 ~ 39세,,,김천시,사회적경제기업 등 연계 청년 1인당 최저 인건비와 4대 보험료 지원,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2021021803386
60,김천시 청년센터 설치,만 15세 ~ 39세,,,김천시,청년활동 생태계 조성으로 지역청년의 사회참여 및 활동 확대,youth_support,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2022032000454
61,중소기업 청년근로자 3·6·9 미래희망 지원사업,만 39세 이하,,,김천시,중소기업 신규 채용자 대상 개월별 근속장려금 지원,job_found,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2022032000581
62,청년 취업사관학교,만 15세 ~ 39세,,,김천시,기수별 1:1맞춤 취업지원 교육과정(5주 코스)운영,job_found,https://www.youthcenter.go.kr/youngPlcyUnif/youngPlcyUnifDtl.do?bizId=R2022032000582
